h_t,t,e_b,e_s,d_b,d_s,e_card_b,e_card_s,d_card_b,d_card_s
2020-06-30 15:51:06,1593521466,29.55,30.25,26.5,26.8,30.63,30.43,27.27,27.07
2020-07-01 12:24:47,1593595487,29.55,30.15,26.5,26.8,30.57,30.37,27.27,27.07
2020-07-01 14:43:09,1593603789,29.6,30.2,26.55,26.85,30.57,30.37,27.27,27.07
2020-07-01 15:08:56,1593605336,29.6,30.2,26.55,26.85,30.57,30.37,27.27,27.07
2020-07-01 16:32:15,1593610335,29.6,30.2,26.55,26.85,30.57,30.37,27.27,27.07
2020-07-01 17:00:12,1593612012,29.6,30.2,26.55,26.85,30.57,30.37,27.27,27.07
2020-07-01 18:13:33,1593616413,29.6,30.2,26.55,26.85,30.57,30.37,27.27,27.07
2020-07-02 10:03:57,1593673437,29.8,30.55,26.65,27.0,30.57,30.37,27.27,27.07
2020-07-03 11:17:20,1593764240,30.0,30.97,26.9,27.45,31.32,31.12,27.67,27.47
2020-07-06 11:12:16,1594023136,30.1,30.8,26.85,27.35,31.13,30.93,27.72,27.52
2020-07-06 18:06:41,1594048001,30.1,30.8,26.85,27.35,31.13,30.93,27.72,27.52
2020-07-19 18:42:28,1595173348,30.98,31.65,27.2,27.55,31.75,31.55,27.81,27.61
2020-07-19 18:45:06,1595173506,30.98,31.65,27.2,27.55,31.75,31.55,27.81,27.61
2020-07-20 11:10:15,1595232615,30.85,31.75,27.2,27.65,32.03,31.83,28.0,27.8
2020-07-21 11:16:55,1595319415,31.1,31.85,27.4,27.8,32.32,32.12,28.23,28.03
2020-07-21 17:31:30,1595341890,31.1,31.85,27.4,27.8,32.32,32.12,28.23,28.03
2020-07-21 22:42:29,1595360549,31.1,31.85,27.4,27.8,32.32,32.12,28.23,28.03
2020-07-21 23:28:59,1595363339,31.1,31.85,27.4,27.8,32.32,32.12,28.23,28.03
2020-07-22 12:58:13,1595411893,31.55,32.45,27.6,28.05,32.38,32.18,28.28,28.08
2020-07-22 11:51:52,1595407912,31.55,32.45,27.6,28.05,32.38,32.18,28.28,28.08
2020-07-22 14:29:05,1595417345,31.55,32.45,27.6,28.05,32.38,32.18,28.28,28.08
2020-07-22 18:29:11,1595431751,31.55,32.45,27.6,28.05,32.38,32.18,28.28,28.08
2020-07-23 11:29:19,1595492959,31.8,32.7,27.7,28.15,32.95,32.75,28.43,28.23
2020-07-23 17:11:39.911162,1595513499.9111638,31.8,32.7,27.7,28.15,32.95,32.75,28.43,28.23
2020-07-23 18:00:02.734125,1595516402.7341354,31.8,32.7,27.7,28.15,32.95,32.75,28.43,28.23
2020-07-24 11:00:04.568251,1595577604.5682619,31.7,32.6,27.55,28.0,33.0,32.8,28.48,28.28
2020-07-24 11:01:11.781059,1595577671.7810664,31.7,32.6,27.55,28.0,33.0,32.8,28.48,28.28
2020-07-24 11:02:17.810782,1595577737.8107898,31.7,32.6,27.55,28.0,33.0,32.8,28.48,28.28
